scorer,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000
bodyparts,leftear,leftear,leftear,rightear,rightear,rightear,nose,nose,nose,tailbase,tailbase,tailbase,object1,object1,object1,object2,object2,object2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,180.1583251953125,141.8323974609375,0.9993237257003784,191.341796875,148.97817993164062,0.9997096657752991,202.09222412109375,136.82904052734375,0.9835222959518433,139.61192321777344,189.50694274902344,0.9998161196708679,226.3502655029297,129.76499938964844,0.9999206066131592,463.7207946777344,423.1668395996094,0.26030775904655457
33,179.02484130859375,140.2527618408203,0.9999550580978394,190.58836364746094,150.20004272460938,0.9999314546585083,200.7179718017578,134.40420532226562,0.9984591007232666,138.43995666503906,188.11282348632812,0.9999467134475708,225.22909545898438,128.97372436523438,0.9993153810501099,226.28656005859375,130.168701171875,0.5511261820793152
34,171.51870727539062,134.00018310546875,0.9999945163726807,186.0819091796875,144.66249084472656,0.9999967813491821,190.92457580566406,127.92586517333984,0.9999879598617554,141.2139434814453,185.72979736328125,0.9999895095825195,225.2382049560547,132.25009155273438,0.9999589920043945,463.3895568847656,423.3169860839844,0.3059071898460388
35,162.36322021484375,120.22557830810547,0.9999988079071045,176.0846710205078,128.37088012695312,0.9999960660934448,178.4559326171875,109.19473266601562,0.9999982118606567,141.14642333984375,177.64596557617188,0.999998927116394,460.42498779296875,424.73809814453125,0.9995170831680298,226.06910705566406,132.1730194091797,0.5699045658111572
36,161.48223876953125,94.96192932128906,0.9999995231628418,174.0662078857422,103.67024993896484,0.9999985694885254,174.72128295898438,83.1158447265625,0.9999985694885254,146.81121826171875,152.48472595214844,0.9999998807907104,461.527587890625,423.6381530761719,0.999360978603363,226.50643920898438,132.3666534423828,0.9769967198371887
37,160.2838897705078,71.28365325927734,0.9999990463256836,173.97003173828125,79.48057556152344,0.9999955892562866,174.6080322265625,57.24601745605469,0.9999959468841553,150.412841796875,131.31861877441406,0.9999995231628418,461.2040710449219,424.2032165527344,0.9991587400436401,226.51622009277344,133.069580078125,0.9691928029060364
38,170.919921875,44.53007507324219,0.9999935626983643,183.0053253173828,54.06386184692383,0.9999997615814209,189.5916748046875,35.52650451660156,0.999998927116394,147.71603393554688,98.06764221191406,0.9999990463256836,461.5716247558594,424.9956970214844,0.9989879727363586,225.9271240234375,131.80072021484375,0.999800980091095
39,183.64407348632812,39.331417083740234,0.9999991655349731,191.93936157226562,50.70643997192383,0.9999998807907104,202.00746154785156,36.68838882446289,0.9999995231628418,147.64483642578125,75.04605102539062,0.9999997615814209,461.3582763671875,425.2575378417969,0.9992781281471252,225.89231872558594,131.1985321044922,0.9990376234054565
40,191.23509216308594,36.57981872558594,0.9999998807907104,199.838134765625,49.19413757324219,0.9999994039535522,210.3391571044922,32.124881744384766,0.9999996423721313,149.85012817382812,68.6178207397461,0.9999998807907104,461.2388000488281,425.7320251464844,0.998515784740448,226.2573699951172,130.80506896972656,0.9979198575019836
41,208.84976196289062,36.55545425415039,0.9999998807907104,212.73814392089844,49.89826965332031,0.9999997615814209,228.20616149902344,45.19147491455078,0.9999997615814209,160.15719604492188,60.36689758300781,0.999981164932251,461.3667297363281,424.7129821777344,0.9989851117134094,225.7017822265625,129.81248474121094,0.9983757734298706
